name, url, xpath, latest_ep
Buta no Fukushuu,https://www.nekopost.net/manga/11828/,//a/h2,16.5
Maou ni Natta node Dungeon Tsukutte Jingai Musume to Honobono suru,https://www.nekopost.net/manga/7875/,//a/h2,55.0
One piece,https://mangaplus.shueisha.co.jp/titles/100079/,//main/div/div/div[1]/div/p[1],1100.0
Blue Box,https://mangaplus.shueisha.co.jp/titles/300004/,//main/div/div/div[1]/div/p[1],128.0
Chainsaw man,https://mangaplus.shueisha.co.jp/titles/300002/,//main/div/div/div[1]/div/p[1],149.0
Make the Exorcise Fall in Love,https://mangaplus.shueisha.co.jp/titles/300010/,//main/div/div/div[1]/div/p[1],53.0
Isekai Soapland Kaguya,https://www.nekopost.net/manga/10705/,//a/h2,18.0
ELDEN RING The Road to the Erdtree,https://comic-walker.com/contents/detail/KDCW_MF09203324020000_68/,"//*[@id=""reversible""]/li[4]/div/div/span",35.0
Dare demo Idakeru Kimi ga Suki,https://www.nekopost.net/manga/12923/,//a/h2,22.0
SpyxFamily,https://mangaplus.shueisha.co.jp/titles/100082/,//main/div/div/div[1]/div/p[1],90.0
Hazure Hantei kara Hajimatta Cheat Majutsushi Seikatsu,https://mangakakalot.com/manga/ve928185,//div/span[1]/a,17.2
NTREVENGE,https://www.nekopost.net/manga/13074,//a/h2,1.2
Redo Of Healer,https://www.redoofhealer.online/,//li[1]/div/div/a[1]/div/div,58.2
